# DIRMODES -> CHAR
# INH -> I
# IMM -> M
# EXT -> E
# DIR -> D
# IND,X -> X 
# IND,Y -> Y
# REL -> R

ABA,1B,I

ABX,3A,I

ABY,183A,I

ADCA,89,M
ADCA,99,D
ADCA,B9,E
ADCA,A9,X
ADCA,18A9,Y

ADCB,C9,M
ADCB,D9,D
ADCB,F9,E
ADCB,E9,X
ADCB,18E9,Y

ADDA,8B,M
ADDA,9B,D
ADDA,BB,E
ADDA,AB,X
ADDA,18AB,Y

ADDB,CB,M
ADDB,DB,D
ADDB,FB,E
ADDB,EB,X
ADDB,18EB,Y

ADDD,C3,M
ADDD,D3,D
ADDD,F3,E
ADDD,E3,X
ADDD,18E3,Y

ANDA,84,M
ANDA,94,D
ANDA,B4,E
ANDA,A4,X
ANDA,18A4,Y

ANDB,C4,M
ANDB,D4,D
ANDB,F4,E
ANDB,E4,X
ANDB,18E4,Y

ASL,78,E
ASL,68,X
ASL,1868,Y

ASLA,48,I

ASLB,58,I

ASLD,05,I

ASR,77,E
ASR,67,X
ASR,1867,Y

ASRA,47,I

ASRB,57,I

BCC,24,R

BCLR,15,D
BCLR,1D,X
BCLR,181D,Y

BCS,25,R

BEQ,27,R

BGE,2C,R

BGT,2E,R

BHI,22,R

BHS,24,R

BITA,85,M
BITA,95,D
BITA,B5,E
BITA,A5,X
BITA,18A5,Y

BITB,C5,M
BITB,D5,D
BITB,F5,E
BITB,E5,X
BITB,18E3,Y

BLE,2F,R

BLO,25,R

BLS,23,R

BLT,2D,R

BMI,2B,R

BNE,26,R

BPL,2A,R

BRA,20,R

BRCLR,13,D
BRCLR,1F,X
BRCLR,181F,Y

BRN,21,R

BRSET,12,D
BRSET,1E,X
BRSET,181E,Y

BSET,14,D
BSET,1C,X
BSET,181C,Y

BSR,8D,R

BVC,28,R

BVS,29,R

CBA,11,I

CLC,0C,I

CLI,0E,I

CLR,7F,E
CLR,6F,X
CLR,186F,Y

CLRA,4F,I

CLRB,5F,I

CLV,0A,I

CMPA,81,M
CMPA,91,D
CMPA,B1,E
CMPA,A1,X
CMPA,18A1,Y

CMPB,C1,M
CMPB,D1,D
CMPB,F1,E
CMPB,E1,X
CMPB,18E1,Y

COM,73,E
COM,63,X
COM,1863,Y

COMA,43,I

COMB,53,I

CPD,1A83,M
CPD,1A93,D
CPD,1AB3,E
CPD,1AA3,X
CPD,CDA3,Y

CPX,8C,M
CPX,9C,D
CPX,BC,E
CPX,AC,X
CPX,CDAC,Y

CPY,188C,M
CPY,189C,D
CPY,18BC,E
CPY,1AAC,X
CPY,18AC,Y

DAA,19,I

DEC,7A,E
DEC,6A,X
DEC,186A,Y

DECA,4A,I

DECB,5A,I

DES,34,I

DEX,09,I

DEY,1809,I

EORA,88,M
EORA,98,D
EORA,B8,E
EORA,A8,X
EORA,18A8,Y

EORB,C8,M
EORB,D8,D
EORB,F8,E
EORB,E8,X
EORB,18E8,Y

FDIV,03,I

IDIV,02,I

INC,7C,E
INC,6C,X
INC,186C,Y

INCA,4C,I

INCB,5C,I

INS,31,I

INX,08,I

INY,1808,I

JMP,7E,E
JMP,63,X
JMP,186E,Y

JSR,9D,D
JSR,BD,E
JSR,AD,X
JSR,18AD,Y

LDAA,86,M
LDAA,96,D
LDAA,B6,E
LDAA,A6,X
LDAA,18A6,Y

LDAB,C6,M
LDAB,D6,D
LDAB,B6,E
LDAB,E6,X
LDAB,18E6,Y

LDD,CC,M
LDD,DC,D
LDD,FC,E
LDD,EC,X
LDD,18EC,Y

LDS,8E,M
LDS,9E,D
LDS,BE,E
LDS,AE,X
LDS,18AE,Y

LDX,CE,M
LDX,DE,D
LDX,FE,E
LDX,EE,X
LDX,CDEE,Y

LDY,18CE,M
LDY,18DE,D
LDY,18FE,E
LDY,1AEE,X
LDY,18EE,Y

LSL,78,E
LSL,68,X
LSL,1868,Y

LSLA,48,I

LSLB,58,I

LSLD,05,I

LSR,74,E
LSR,64,X
LSR,1864,Y

LSRA,44,I

LSRB,54,I

LSRD,04,I

MUL,3D,I

NEG,70,E
NEG,60,X
NEG,1860,Y

NEGA,40,I

NEGB,50,I

NOP,01,I

ORAA
ORAB
PSHA
PSHB
PSHX
PSHY
PULA
PULB
PULX
PULY
ROL
ROLA
ROLB
ROR
RORA
RORB
RTI
RTS
SBA
SBCA
SBCB
SEC
SEI
SEV
STAA
STAB
STD
STOP
STS
STX
STY
SUBA
SUBB
SUBD
SWI
TAB
TAP
TBA
TEST
TPA
TST
TSTA
TSTB
TSX
TSY
TXS
TYS
WAI
XGDX
XGDY
